stage,description,Bedroom,Bathroom,Property Size,Nearby School,Nearby Mall,Ad List,Category,Facilities,Building Name,Developer,Tenure Type,Address,Completion Year,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,Firm Type,Firm Number,REN Number,Bus Stop,Mall,Park,School,Hospital,price,Highway,Nearby Railway Station,Railway Station
before,"Kenanga Point Condominium, Pudu. 
If you are looking for a good, cheap, freehold property in KL city centre, this is the one for you.
Location : Centrally located in Pudu area. . In between commercial hubs KL Sentral & Bukit Bintang.
Why it's worth buying :  you live nearby your workplace in the city without paying a bomb as in new properties. For those who renting rooms at RM1500-1800 a month in the city, might as buy a 3-room condo. 
For passive income, monthly rentals in this condo has a price range of RM1600 - RM2200.
The best view - unlike other units, this one no obstruction in views from balcony. Facing Merdeka 101 Tower.
Security is strict & manned by Nepalese at the 1st tier security gate, by locals at 2nd tier building entrance. Well kept with good housekeeping staffs. 3 levels of parking floors for residents; at ground level, a row of visitor parking lots makes it convenient for visitors & contractors.
Two eating outlets, management office, gym, swimming pool, Mini Mart, barber shop  at level 4. 2 units of Passenger Lifts plus 1 unit of Contractor/Firemen Lift in operation at all times.
""Buying Kenanga Point is buying a condominium at apartment price. Don't miss the boat.""
Call Terry at 
Show contact number
 today.
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
861 sq.ft.
Nearby Railway Station
LRT Station Pudu (Sri Petaling and Ampang Line)
Nearby School
Tsun Jin High School
Nearby Mall
KWC Fashion Mall
See more details",3,2,861 sq.ft.,,,97952413,"Apartment / Condominium, For sale","Security, Tennis Court, Squash Court, Sauna, Gymnasium, Barbeque area, Parking, Swimming Pool, Playground",Kenanga Point,Mahajaya Berhad,Freehold,"No. 11, Jalan Gelugor, Pudu, Pudu, Kuala Lumpur",,26,,Condominium,,Medium,Non Bumi Lot,E,11584,REN 00268,"Bus Stop 3 Jalan Pudu
Bus Stop 1 D'Majestic
Bus Stop 2 D'Majestic
Bus Stop Jalan Changkat Thambi Dollah
Bus Stop 4 Jalan Pudu
Bus Stop 1 Jalan Imbi
Bus Stop Five Stars Bus Bts G09F
Bus Stop Jalan Imbi
Bus Stop Kompleks E-Mart
Bus Stop 2 Jalan Imbi
Bus Stop KL Plaza Square (KL122)
Bus Stop 1 Jalan Pudu
Bus Stop 5 Jalan Pudu
Bus Stop Plaza Elektronik (Opp)
Bus Stop Plaza Elektronik","KWC Fashion Mall
Mitsui Shopping Park LaLaport Kuala Lumpur
Shaw Parade
Plaza Pudu
Berjaya Times Square
Plaza Low Yat","Central Rooftop Garden, Bukit Bintang City Centre, Bukit Bintang, Kuala Lumpur, 55100, Malaysia
Park at Kampung Dollah, Pudu, Kuala Lumpur, Malaysia","Tsun Jin High School
Sekolah Rendah Agama Aslahiyah
SJK (T) Jalan San Peng
SMK Dato' Onn
SK Jalan Hang Tuah (1) & (2)
SJK (C) Chung Kwo
Victoria Institution
SJK(C) Chong Fah Phit Chee
SJK (C) Kung Min
SJK(C) Chin Woo
SMK (P) Bandaraya
SJK (C) Jalan Davidson
Jalan Sultan Ismail
SMK Dato Abu Bakar
Sekolah Seni Malaysia Kuala Lumpur
Sekolah Menengah Stella Maris",,RM 490 000,,,"LRT Station Pudu (Sri Petaling and Ampang Line)
LRT Station Hang Tuah (Sri Petaling and Ampang Line)
Monorail Station Hang Tuah
Monorail Station Imbi
MRT Station Merdeka (MRT Sungai Buloh-Kajang Line)"
before,"Kenanga Point Condominium, Pudu. 
If you are looking for a good, cheap, freehold property in KL city centre, this is the one for you.
Location : Centrally located in Pudu area. . In between commercial hubs KL Sentral & Bukit Bintang.
Why it's worth buying :  you live nearby your workplace in the city without paying a bomb as in new properties. For those who renting rooms at RM1500-1800 a month in the city, might as buy a 3-room condo. 
For passive income, monthly rentals in this condo has a price range of RM1600 - RM2200.
The best view - unlike other units, this one no obstruction in views from balcony. Facing Merdeka 101 Tower.
Security is strict & manned by Nepalese at the 1st tier security gate, by locals at 2nd tier building entrance. Well kept with good housekeeping staffs. 3 levels of parking floors for residents; at ground level, a row of visitor parking lots makes it convenient for visitors & contractors.
Two eating outlets, management office, gym, swimming pool, Mini Mart, barber shop  at level 4. 2 units of Passenger Lifts plus 1 unit of Contractor/Firemen Lift in operation at all times.
""Buying Kenanga Point is buying a condominium at apartment price. Don't miss the boat.""
Call Terry at 
Show contact number
 today.
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
861 sq.ft.
Nearby Railway Station
LRT Station Pudu (Sri Petaling and Ampang Line)
Nearby School
Tsun Jin High School
Nearby Mall
KWC Fashion Mall
See more details",3,2,861 sq.ft.,Tsun Jin High School,KWC Fashion Mall,97952413,"Apartment / Condominium, For sale","Security, Tennis Court, Squash Court, Sauna, Gymnasium, Barbeque area, Parking, Swimming Pool, Playground",Kenanga Point,Mahajaya Berhad,Freehold,"No. 11, Jalan Gelugor, Pudu, Pudu, Kuala Lumpur",,26,,Condominium,,Medium,Non Bumi Lot,E,11584,REN 00268,"Bus Stop 3 Jalan Pudu
Bus Stop 1 D'Majestic
Bus Stop 2 D'Majestic
Bus Stop Jalan Changkat Thambi Dollah
Bus Stop 4 Jalan Pudu
Bus Stop 1 Jalan Imbi
Bus Stop Five Stars Bus Bts G09F
Bus Stop Jalan Imbi
Bus Stop Kompleks E-Mart
Bus Stop 2 Jalan Imbi
Bus Stop KL Plaza Square (KL122)
Bus Stop 1 Jalan Pudu
Bus Stop 5 Jalan Pudu
Bus Stop Plaza Elektronik (Opp)
Bus Stop Plaza Elektronik","KWC Fashion Mall
Mitsui Shopping Park LaLaport Kuala Lumpur
Shaw Parade
Plaza Pudu
Berjaya Times Square
Plaza Low Yat","Central Rooftop Garden, Bukit Bintang City Centre, Bukit Bintang, Kuala Lumpur, 55100, Malaysia
Park at Kampung Dollah, Pudu, Kuala Lumpur, Malaysia","Tsun Jin High School
Sekolah Rendah Agama Aslahiyah
SJK (T) Jalan San Peng
SMK Dato' Onn
SK Jalan Hang Tuah (1) & (2)
SJK (C) Chung Kwo
Victoria Institution
SJK(C) Chong Fah Phit Chee
SJK (C) Kung Min
SJK(C) Chin Woo
SMK (P) Bandaraya
SJK (C) Jalan Davidson
Jalan Sultan Ismail
SMK Dato Abu Bakar
Sekolah Seni Malaysia Kuala Lumpur
Sekolah Menengah Stella Maris",,RM 490 000,,LRT Station Pudu (Sri Petaling and Ampang Line),"LRT Station Pudu (Sri Petaling and Ampang Line)
LRT Station Hang Tuah (Sri Petaling and Ampang Line)
Monorail Station Hang Tuah
Monorail Station Imbi
MRT Station Merdeka (MRT Sungai Buloh-Kajang Line)"
after_merge,"1670sf
3 rooms 2 baths
3 parking lot
3 steps to reach swimming pool
very serene and one of the best unit among you can find in hijauan saujana
currently tenanted
pls contact 
Show contact number
 for more info
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
1670 sq.ft.
Nearby Railway Station
LRT Station Ara Damansara (Kelana Jaya Line)
Nearby Mall
Evolve Concept Mall
See more details",3,2,1670 sq.ft.,,Evolve Concept Mall,99312797,"Apartment / Condominium, For sale","Jogging Track, Barbeque area, Sauna, Parking, Security, Gymnasium, Multipurpose hall, Club house, Playground, Swimming Pool, Tennis Court",Hijauan Saujana,Esquire Corner Sdn Bhd,Freehold,"Subang (Saujana Resort), Seksyen U2, Shah Alam, Selangor",2015,14,539,Condominium,3,Low,Non Bumi Lot,,,,,Evolve Concept Mall,"Park at Sterling Park, Sterling@PJ Condominium
Park 8 at Shah Alam, Petaling
Park at Glenmarie Gardens, Glenmarie",,,RM 850 000,Subang Toll Plaza,LRT Station Ara Damansara (Kelana Jaya Line),"LRT Station Ara Damansara (Kelana Jaya Line)
LRT Station Glenmarie (Kelana Jaya Line)"
before,"1670sf
3 rooms 2 baths
3 parking lot
3 steps to reach swimming pool
very serene and one of the best unit among you can find in hijauan saujana
currently tenanted
pls contact 
Show contact number
 for more info
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
1670 sq.ft.
Nearby Railway Station
LRT Station Ara Damansara (Kelana Jaya Line)
Nearby Mall
Evolve Concept Mall
See more details",3,2,1670 sq.ft.,,Evolve Concept Mall,99312797,"Apartment / Condominium, For sale","Jogging Track, Barbeque area, Sauna, Parking, Security, Gymnasium, Multipurpose hall, Club house, Playground, Swimming Pool, Tennis Court",Hijauan Saujana,Esquire Corner Sdn Bhd,Freehold,"Subang (Saujana Resort), Seksyen U2, Shah Alam, Selangor",2015,14,539,Condominium,3,Low,Non Bumi Lot,,,,,Evolve Concept Mall,"Park at Sterling Park, Sterling@PJ Condominium
Park 8 at Shah Alam, Petaling
Park at Glenmarie Gardens, Glenmarie",,,RM 850 000,Subang Toll Plaza,LRT Station Ara Damansara (Kelana Jaya Line),"LRT Station Ara Damansara (Kelana Jaya Line)
LRT Station Glenmarie (Kelana Jaya Line)"
before,"1670sf
3 rooms 2 baths
3 parking lot
3 steps to reach swimming pool
very serene and one of the best unit among you can find in hijauan saujana
currently tenanted
pls contact 
Show contact number
 for more info
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
1670 sq.ft.
Nearby Railway Station
LRT Station Ara Damansara (Kelana Jaya Line)
Nearby Mall
Evolve Concept Mall
See more details",3,2,1670 sq.ft.,,,99312797,"Apartment / Condominium, For sale","Jogging Track, Barbeque area, Sauna, Parking, Security, Gymnasium, Multipurpose hall, Club house, Playground, Swimming Pool, Tennis Court",Hijauan Saujana,Esquire Corner Sdn Bhd,Freehold,"Subang (Saujana Resort), Seksyen U2, Shah Alam, Selangor",2015,14,539,Condominium,3,Low,Non Bumi Lot,,,,,Evolve Concept Mall,"Park at Sterling Park, Sterling@PJ Condominium
Park 8 at Shah Alam, Petaling
Park at Glenmarie Gardens, Glenmarie",,,RM 850 000,Subang Toll Plaza,,"LRT Station Ara Damansara (Kelana Jaya Line)
LRT Station Glenmarie (Kelana Jaya Line)"
after_merge,"Kindly contact 
Show contact number
 Wilson for viewing and more information.
*Please leave a message if your call is not answered**
**Bayu Pandan Apartment@Pandan Jaya For SALE*** 
==Facilities==
~Gated and Guarded
~Swimming pool
~Gym
~Playground
~Multipurpose hall
==Amenities & Accessible To==
~Kindergarten
~7 Eleven
~Restaurant
~Night market
~10 min to IKEA Cheras, Sunway Velocity, Jusco Maluri and Tesco Ampang
~15 min to KLCC, Bukit Bintang, Mid Valley
~MEX
~MRR2
~Jalan Cheras
~Jalan Ampang
==============================================================
## FREE Property Valuation ##
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
1050 sq.ft.
Nearby Railway Station
LRT Station Pandan Jaya (Ampang Line)
Nearby School
SMK Pandan Jaya
See more details",3,2,1050 sq.ft.,SMK Pandan Jaya,,102340257,"Apartment / Condominium, For sale","Security, Gymnasium, Multipurpose hall, Club house, Parking, Playground, Swimming Pool, Lift, Minimart",Bayu @ Pandan Jaya,Melati Ehsan Group,Leasehold,"Persiaran Pandan 3, Pandan Jaya, Kuala Lumpur",2015,12,280,Condominium,2,Medium,Non Bumi Lot,E,11584,REN 12066,"Bus Stop KL872 Taman Shamelin Perkasa (Utara)
Bus Stop KL378 Wisma Sistem 2
Bus Stop KL377 Tmn Maluri (Timur)
Bus Stop KL376 Pusat Perdagangan Tmn Maluri
Bus Stop KL371 Tmn Maluri (Timur)
Bus Stop KL375 Wisma Mahkota",,"Park at Taman Cheras Indah, Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, Malaysia
Taman Pandan Jaya, Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, Malaysia
Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, Malaysia
Padang Perbandaran Ampang Jaya, Taman Pandan Jaya, Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, 55100, Malaysia","SMK Pandan Jaya
Sekolah Kebangsaan Cheras Indah",,RM 418 000,,LRT Station Pandan Jaya (Ampang Line),"LRT Station Pandan Jaya (Ampang Line)
LRT Station Pandan Indah (Ampang Line)"
before,"Kindly contact 
Show contact number
 Wilson for viewing and more information.
*Please leave a message if your call is not answered**
**Bayu Pandan Apartment@Pandan Jaya For SALE*** 
==Facilities==
~Gated and Guarded
~Swimming pool
~Gym
~Playground
~Multipurpose hall
==Amenities & Accessible To==
~Kindergarten
~7 Eleven
~Restaurant
~Night market
~10 min to IKEA Cheras, Sunway Velocity, Jusco Maluri and Tesco Ampang
~15 min to KLCC, Bukit Bintang, Mid Valley
~MEX
~MRR2
~Jalan Cheras
~Jalan Ampang
==============================================================
## FREE Property Valuation ##
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
1050 sq.ft.
Nearby Railway Station
LRT Station Pandan Jaya (Ampang Line)
Nearby School
SMK Pandan Jaya
See more details",3,2,1050 sq.ft.,SMK Pandan Jaya,,102340257,"Apartment / Condominium, For sale","Security, Gymnasium, Multipurpose hall, Club house, Parking, Playground, Swimming Pool, Lift, Minimart",Bayu @ Pandan Jaya,Melati Ehsan Group,Leasehold,"Persiaran Pandan 3, Pandan Jaya, Kuala Lumpur",2015,12,280,Condominium,2,Medium,Non Bumi Lot,E,11584,REN 12066,"Bus Stop KL872 Taman Shamelin Perkasa (Utara)
Bus Stop KL378 Wisma Sistem 2
Bus Stop KL377 Tmn Maluri (Timur)
Bus Stop KL376 Pusat Perdagangan Tmn Maluri
Bus Stop KL371 Tmn Maluri (Timur)
Bus Stop KL375 Wisma Mahkota",,"Park at Taman Cheras Indah, Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, Malaysia
Taman Pandan Jaya, Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, Malaysia
Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, Malaysia
Padang Perbandaran Ampang Jaya, Taman Pandan Jaya, Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, 55100, Malaysia","SMK Pandan Jaya
Sekolah Kebangsaan Cheras Indah",,RM 418 000,,LRT Station Pandan Jaya (Ampang Line),"LRT Station Pandan Jaya (Ampang Line)
LRT Station Pandan Indah (Ampang Line)"
before,"Kindly contact 
Show contact number
 Wilson for viewing and more information.
*Please leave a message if your call is not answered**
**Bayu Pandan Apartment@Pandan Jaya For SALE*** 
==Facilities==
~Gated and Guarded
~Swimming pool
~Gym
~Playground
~Multipurpose hall
==Amenities & Accessible To==
~Kindergarten
~7 Eleven
~Restaurant
~Night market
~10 min to IKEA Cheras, Sunway Velocity, Jusco Maluri and Tesco Ampang
~15 min to KLCC, Bukit Bintang, Mid Valley
~MEX
~MRR2
~Jalan Cheras
~Jalan Ampang
==============================================================
## FREE Property Valuation ##
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
1050 sq.ft.
Nearby Railway Station
LRT Station Pandan Jaya (Ampang Line)
Nearby School
SMK Pandan Jaya
See more details",3,2,1050 sq.ft.,,,102340257,"Apartment / Condominium, For sale","Security, Gymnasium, Multipurpose hall, Club house, Parking, Playground, Swimming Pool, Lift, Minimart",Bayu @ Pandan Jaya,Melati Ehsan Group,Leasehold,"Persiaran Pandan 3, Pandan Jaya, Kuala Lumpur",2015,12,280,Condominium,2,Medium,Non Bumi Lot,E,11584,REN 12066,"Bus Stop KL872 Taman Shamelin Perkasa (Utara)
Bus Stop KL378 Wisma Sistem 2
Bus Stop KL377 Tmn Maluri (Timur)
Bus Stop KL376 Pusat Perdagangan Tmn Maluri
Bus Stop KL371 Tmn Maluri (Timur)
Bus Stop KL375 Wisma Mahkota",,"Park at Taman Cheras Indah, Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, Malaysia
Taman Pandan Jaya, Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, Malaysia
Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, Malaysia
Padang Perbandaran Ampang Jaya, Taman Pandan Jaya, Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, 55100, Malaysia","SMK Pandan Jaya
Sekolah Kebangsaan Cheras Indah",,RM 418 000,,,"LRT Station Pandan Jaya (Ampang Line)
LRT Station Pandan Indah (Ampang Line)"
after_merge,"Kristal Height Condominium Seksyen 7 Shah Alam For Sale!
Asking Price : RM 410,000 Negotiable
PROPERTY DETAILS :
- Leasehold Bumi Lot
- Build up : 1,003 Square Feet
- Bedrooms : 3
- Bathrooms : 2
- Tenanted
- 1 Carpark
FACILITIES :
- 24hours security
- Swimming pool
- Restaurant
Amenities :
- Seksyen 7 Mosque (walking distance only)
- Shah Alam Hospital
- Central I-City
- Giant
- Eco Ardence
Accessibility :
- FEDERAL Highway
- NKVE
- Guthrie Highway
Please Contact:
Show contact number
Keyn Aziz 
PEA 1222
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
1003 sq.ft.
Nearby School
Sekolah Kebangsaan Seksyen 7
See more details",3,2,1003 sq.ft.,Sekolah Kebangsaan Seksyen 7,,102882864,"Apartment / Condominium, For sale","Security, Parking, Playground, Swimming Pool, Lift",Kristal Heights (Shah Alam),Perbadanan Kemajuan Negeri Selangor (PKNS),Leasehold,"Jalan Kristal Tujuh 7/70G, Shah Alam, Selangor",2006,15,,Condominium,,Medium,Bumi Lot,E,21064,PEA 1222,"Bus Stop at Persiaran Bestari 1
Bus Stop at Persiaran Bestari 2
Bus Stop at Jalan Plumbum N7/N
Bus Stop at Persiaran Permai 1",,"Park 1 at Section 7, Shah Alam
Park 2 at Section 7, Shah Alam","Sekolah Kebangsaan Seksyen 7
Sekolah Antarabangsa MAZ",,RM 410 000,,,
before,"Kristal Height Condominium Seksyen 7 Shah Alam For Sale!
Asking Price : RM 410,000 Negotiable
PROPERTY DETAILS :
- Leasehold Bumi Lot
- Build up : 1,003 Square Feet
- Bedrooms : 3
- Bathrooms : 2
- Tenanted
- 1 Carpark
FACILITIES :
- 24hours security
- Swimming pool
- Restaurant
Amenities :
- Seksyen 7 Mosque (walking distance only)
- Shah Alam Hospital
- Central I-City
- Giant
- Eco Ardence
Accessibility :
- FEDERAL Highway
- NKVE
- Guthrie Highway
Please Contact:
Show contact number
Keyn Aziz 
PEA 1222
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
1003 sq.ft.
Nearby School
Sekolah Kebangsaan Seksyen 7
See more details",3,2,1003 sq.ft.,Sekolah Kebangsaan Seksyen 7,,102882864,"Apartment / Condominium, For sale","Security, Parking, Playground, Swimming Pool, Lift",Kristal Heights (Shah Alam),Perbadanan Kemajuan Negeri Selangor (PKNS),Leasehold,"Jalan Kristal Tujuh 7/70G, Shah Alam, Selangor",2006,15,,Condominium,,Medium,Bumi Lot,E,21064,PEA 1222,"Bus Stop at Persiaran Bestari 1
Bus Stop at Persiaran Bestari 2
Bus Stop at Jalan Plumbum N7/N
Bus Stop at Persiaran Permai 1",,"Park 1 at Section 7, Shah Alam
Park 2 at Section 7, Shah Alam","Sekolah Kebangsaan Seksyen 7
Sekolah Antarabangsa MAZ",,RM 410 000,,,
before,"Kristal Height Condominium Seksyen 7 Shah Alam For Sale!
Asking Price : RM 410,000 Negotiable
PROPERTY DETAILS :
- Leasehold Bumi Lot
- Build up : 1,003 Square Feet
- Bedrooms : 3
- Bathrooms : 2
- Tenanted
- 1 Carpark
FACILITIES :
- 24hours security
- Swimming pool
- Restaurant
Amenities :
- Seksyen 7 Mosque (walking distance only)
- Shah Alam Hospital
- Central I-City
- Giant
- Eco Ardence
Accessibility :
- FEDERAL Highway
- NKVE
- Guthrie Highway
Please Contact:
Show contact number
Keyn Aziz 
PEA 1222
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
1003 sq.ft.
Nearby School
Sekolah Kebangsaan Seksyen 7
See more details",3,2,1003 sq.ft.,,,102882864,"Apartment / Condominium, For sale","Security, Parking, Playground, Swimming Pool, Lift",Kristal Heights (Shah Alam),Perbadanan Kemajuan Negeri Selangor (PKNS),Leasehold,"Jalan Kristal Tujuh 7/70G, Shah Alam, Selangor",2006,15,,Condominium,,Medium,Bumi Lot,E,21064,PEA 1222,"Bus Stop at Persiaran Bestari 1
Bus Stop at Persiaran Bestari 2
Bus Stop at Jalan Plumbum N7/N
Bus Stop at Persiaran Permai 1",,"Park 1 at Section 7, Shah Alam
Park 2 at Section 7, Shah Alam","Sekolah Kebangsaan Seksyen 7
Sekolah Antarabangsa MAZ",,RM 410 000,,,
after_merge,"Vista Lavender Apartment For Sale@ Bandar Kinrara, Puchong
DETAILS :
===========
Unit baru diubahsuai, kitchen cabinet, toilet, flooring semua baru, semua pekakas rumah baru. Terus masuk, tak perlu beli apa apa.
** RM 299,900 nett **
- Leasehold | Non bumi lot
- 852 sqft
- 3 bed & 2 bath
- 1 parking
- Block B
Reno & Furnishing (All items are brand new, view to believe)
* New Flooring ( Full house)
* Built in kitchen cabinet & counter top
* Hood & Hob
* Dining table with chair
* 3 seater sofa with coffee table
* TV cabinet
* Full house Nordic style lighting
* Master room fully furnished
* New water heaters
EASY ACCESS:
Jalan Puchong
Shah Alam Expressway (KESAS)
Lebuhraya Damansara - Puchong (LDP)
5 minutes to Bukit Jalil
5 minutes to IOI Mall & Tesco Bandar Puchong
10 minutes to Sunway Pyramid
10 minutes to PJ Old Town / Taman Sri Manja
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
852 sq.ft.
Nearby School
Kafa Integrasi Al-Falah
See more details",3,2,852 sq.ft.,Kafa Integrasi Al-Falah,,103249540,"Apartment / Condominium, For sale","Security, Playground, Multipurpose hall, Parking, Minimart, Lift",Vista Lavender,Talam Transform Berhad,Leasehold,"Persiaran Kinrara Seksyen 3, Bandar Kinrara, Puchong, Selangor",2000,12,,Apartment,1,High,Non Bumi Lot,E,11584,REN 41807,"Bus Stop at Jalan Puchong 5
Bus Stop at Jalan Puchong 4
Bus Stop at Jalan Taman Kinrara
Bus Stop at Jalan Puchong 7
Bus Stop at Jalan Kinrara 4 1
Bus Stop at Jalan Kinrara 4 2
Bus Stop at Jalan TK 1/11A",,"Park at Taman Kinrara Seksyen 7, Subang Jaya
Park at Taman Kinrara Seksyen 4, Subang Jaya
Park at Taman Kinrara, Subang Jaya
Park at Taman Kinrara Seksyen 3, Bukit Tandang
Park at Taman Bukit Kuchai, Bukit Tandang
Park at Kinrara Ria Apartments, Subang Jaya
Park at Flat Taman Kinrara, Subang Jaya
Park at Bandar Kinrara 3 Park, Bandar Kinrara
Park at Pangsapuri Mawar, Bukit Tandang
Park at Taman Kinrara Seksyen 2, Subang Jaya
Park 1 at Bandar Kinrara, Subang Jaya","Kafa Integrasi Al-Falah
Sekolah Jenis Kebangsaan (Cina) Yak Chee
Sekolah Kebangsaan Bukit Kuchai
Sekolah Kebangsaan Seksyen 1 Bandar Kinrara",,RM 299 900,,,
before,"Vista Lavender Apartment For Sale@ Bandar Kinrara, Puchong
DETAILS :
===========
Unit baru diubahsuai, kitchen cabinet, toilet, flooring semua baru, semua pekakas rumah baru. Terus masuk, tak perlu beli apa apa.
** RM 299,900 nett **
- Leasehold | Non bumi lot
- 852 sqft
- 3 bed & 2 bath
- 1 parking
- Block B
Reno & Furnishing (All items are brand new, view to believe)
* New Flooring ( Full house)
* Built in kitchen cabinet & counter top
* Hood & Hob
* Dining table with chair
* 3 seater sofa with coffee table
* TV cabinet
* Full house Nordic style lighting
* Master room fully furnished
* New water heaters
EASY ACCESS:
Jalan Puchong
Shah Alam Expressway (KESAS)
Lebuhraya Damansara - Puchong (LDP)
5 minutes to Bukit Jalil
5 minutes to IOI Mall & Tesco Bandar Puchong
10 minutes to Sunway Pyramid
10 minutes to PJ Old Town / Taman Sri Manja
Continue Reading
PROPERTY HIGHLIGHTS
NEW!
Bedroom
3
Bathroom
2
Property Size
852 sq.ft.
Nearby School
Kafa Integrasi Al-Falah
See more details",3,2,852 sq.ft.,Kafa Integrasi Al-Falah,,103249540,"Apartment / Condominium, For sale","Security, Playground, Multipurpose hall, Parking, Minimart, Lift",Vista Lavender,Talam Transform Berhad,Leasehold,"Persiaran Kinrara Seksyen 3, Bandar Kinrara, Puchong, Selangor",2000,12,,Apartment,1,High,Non Bumi Lot,E,11584,REN 41807,"Bus Stop at Jalan Puchong 5
Bus Stop at Jalan Puchong 4
Bus Stop at Jalan Taman Kinrara
Bus Stop at Jalan Puchong 7
Bus Stop at Jalan Kinrara 4 1
Bus Stop at Jalan Kinrara 4 2
Bus Stop at Jalan TK 1/11A",,"Park at Taman Kinrara Seksyen 7, Subang Jaya
Park at Taman Kinrara Seksyen 4, Subang Jaya
Park at Taman Kinrara, Subang Jaya
Park at Taman Kinrara Seksyen 3, Bukit Tandang
Park at Taman Bukit Kuchai, Bukit Tandang
Park at Kinrara Ria Apartments, Subang Jaya
Park at Flat Taman Kinrara, Subang Jaya
Park at Bandar Kinrara 3 Park, Bandar Kinrara
Park at Pangsapuri Mawar, Bukit Tandang
Park at Taman Kinrara Seksyen 2, Subang Jaya
Park 1 at Bandar Kinrara, Subang Jaya","Kafa Integrasi Al-Falah
Sekolah Jenis Kebangsaan (Cina) Yak Chee
Sekolah Kebangsaan Bukit Kuchai
Sekolah Kebangsaan Seksyen 1 Bandar Kinrara",,RM 299 900,,,
